"officialSymbol"	"genes"	"epiMes_tumor"	"epiMes_cellLine"	"Ensembl.Gene.ID"	"HGNC.symbol"	"EntrezGene.ID"
"ABCC3"	"ABCC3"	"epi"	"epi"	"ENSG00000108846"	"ABCC3"	8714
"ABHD11"	"ABHD11"	"epi"	NA	"ENSG00000106077"	"ABHD11"	83451
"ADAP1"	"ADAP1"	NA	"epi"	"ENSG00000105963"	"ADAP1"	11033
"ADIRF"	"C10orf116"	NA	"epi"	"ENSG00000148671"	"ADIRF"	10974
"AGR2"	"AGR2"	"epi"	"epi"	"ENSG00000106541"	"AGR2"	10551
"AIM1"	"AIM1"	NA	"epi"	"ENSG00000112297"	"AIM1"	202
"AKAP12"	"AKAP12"	"mes"	"mes"	"ENSG00000131016"	"AKAP12"	9590
"AKAP2"	"AKAP2"	"mes"	NA	"ENSG00000241978"	"AKAP2"	11217
"AKR1B10"	"AKR1B10"	"epi"	NA	"ENSG00000198074"	"AKR1B10"	57016
"AKT3"	"AKT3"	"mes"	NA	"ENSG00000275199"	"AKT3"	10000
"ALDH3B2"	"ALDH3B2"	NA	"epi"	"ENSG00000132746"	"ALDH3B2"	222
"ALOX5"	"ALOX5"	NA	"epi"	"ENSG00000275565"	"ALOX5"	240
"ANGPTL2"	"ANGPTL2"	"mes"	NA	"ENSG00000136859"	"ANGPTL2"	23452
"ANK2"	"ANK2"	"mes"	"mes"	"ENSG00000145362"	"ANK2"	287
"ANK3"	"ANK3"	NA	"epi"	"ENSG00000151150"	"ANK3"	288
"ANXA4"	"ANXA4"	NA	"epi"	"ENSG00000196975"	"ANXA4"	307
"ANXA9"	"ANXA9"	NA	"epi"	"ENSG00000143412"	"ANXA9"	8416
"AP1M2"	"AP1M2"	"epi"	"epi"	"ENSG00000129354"	"AP1M2"	10053
"AP1S2"	"AP1S2"	"mes"	"mes"	"ENSG00000182287"	"AP1S2"	8905
"AQP3"	"AQP3"	NA	"epi"	"ENSG00000165272"	"AQP3"	360
"ARAP2"	"ARAP2"	NA	"epi"	"ENSG00000047365"	"ARAP2"	116984
"AREG"	"AREG"	NA	"epi"	"ENSG00000109321"	"AREG"	374
"ARHGAP32"	"ARHGAP32"	"epi"	NA	"ENSG00000134909"	"ARHGAP32"	9743
"ARHGAP8"	"ARHGAP8"	"epi"	"epi"	"ENSG00000241484"	"ARHGAP8"	23779
"ARHGDIB"	"ARHGDIB"	NA	"epi"	"ENSG00000111348"	"ARHGDIB"	397
"ARHGEF5"	"ARHGEF5"	NA	"epi"	"ENSG00000050327"	"ARHGEF5"	102725117
"ARHGEF5"	"ARHGEF5"	NA	"epi"	"ENSG00000050327"	"ARHGEF5"	7984
"ASPN"	"ASPN"	"mes"	NA	"ENSG00000106819"	"ASPN"	54829
"ATP1B1"	"ATP1B1"	NA	"epi"	"ENSG00000143153"	"ATP1B1"	481
"ATP2C2"	"ATP2C2"	"epi"	"epi"	"ENSG00000064270"	"ATP2C2"	9914
"AXL"	"AXL"	"mes"	"mes"	"ENSG00000167601"	"AXL"	558
"AZGP1"	"AZGP1"	"epi"	NA	"ENSG00000160862"	"AZGP1"	563
"B3GNT3"	"B3GNT3"	NA	"epi"	"ENSG00000179913"	"B3GNT3"	10331
"BAG2"	"BAG2"	NA	"mes"	"ENSG00000112208"	"BAG2"	9532
"BCAS1"	"BCAS1"	"epi"	NA	"ENSG00000064787"	"BCAS1"	8537
"BGN"	"BGN"	"mes"	NA	"ENSG00000182492"	"BGN"	633
"BICC1"	"BICC1"	"mes"	NA	"ENSG00000122870"	"BICC1"	80114
"BIK"	"BIK"	"epi"	"epi"	"ENSG00000100290"	"BIK"	638
"BLNK"	"BLNK"	NA	"epi"	"ENSG00000095585"	"BLNK"	29760
"BNC2"	"BNC2"	"mes"	NA	"ENSG00000173068"	"BNC2"	54796
"BSPRY"	"BSPRY"	"epi"	"epi"	"ENSG00000119411"	"BSPRY"	54836
"C1orf106"	"C1orf106"	"epi"	"epi"	"ENSG00000163362"	"C1orf106"	55765
"C1orf116"	"C1orf116"	NA	"epi"	"ENSG00000182795"	"C1orf116"	79098
"C1orf54"	"C1orf54"	"mes"	NA	"ENSG00000118292"	"C1orf54"	79630
"C1R"	"C1R"	"mes"	NA	"ENSG00000159403"	"C1R"	715
"C1S"	"C1S"	"mes"	NA	"ENSG00000182326"	"C1S"	716
"C4orf19"	"C4orf19"	"epi"	"epi"	"ENSG00000154274"	"C4orf19"	55286
"CALD1"	"CALD1"	"mes"	"mes"	"ENSG00000122786"	"CALD1"	800
"CAMK2N1"	"CAMK2N1"	NA	"epi"	"ENSG00000162545"	"CAMK2N1"	55450
"CAPN1"	"CAPN1"	NA	"epi"	"ENSG00000014216"	"CAPN1"	823
"CAV1"	"CAV1"	"mes"	NA	"ENSG00000105974"	"CAV1"	857
"CBLC"	"CBLC"	"epi"	"epi"	"ENSG00000142273"	"CBLC"	23624
"CCL2"	"CCL2"	"mes"	NA	"ENSG00000108691"	"CCL2"	6347
"CCL8"	"CCL8"	"mes"	NA	"ENSG00000108700"	"CCL8"	6355
"CD163"	"CD163"	"mes"	NA	"ENSG00000177575"	"CD163"	9332
"CD24"	"CD24"	"epi"	NA	"ENSG00000272398"	"CD24"	100133941
"CD2AP"	"CD2AP"	"epi"	NA	"ENSG00000198087"	"CD2AP"	23607
"CD46"	"CD46"	NA	"epi"	"ENSG00000117335"	"CD46"	4179
"CD9"	"CD9"	NA	"epi"	"ENSG00000010278"	"CD9"	928
"CDH1"	"CDH1"	"epi"	"epi"	"ENSG00000039068"	"CDH1"	999
"CDH11"	"CDH11"	"mes"	NA	"ENSG00000140937"	"CDH11"	1009
"CDH2"	"CDH2"	"mes"	NA	"ENSG00000170558"	"CDH2"	1000
"CDH3"	"CDH3"	NA	"epi"	"ENSG00000062038"	"CDH3"	1001
"CDK14"	"CDK14"	"mes"	NA	"ENSG00000058091"	"CDK14"	5218
"CDS1"	"CDS1"	"epi"	"epi"	"ENSG00000163624"	"CDS1"	1040
"CEACAM1"	"CEACAM1"	"epi"	"epi"	"ENSG00000079385"	"CEACAM1"	634
"CEACAM5"	"CEACAM5"	"epi"	NA	"ENSG00000105388"	"CEACAM5"	1048
"CEACAM6"	"CEACAM6"	"epi"	"epi"	"ENSG00000086548"	"CEACAM6"	4680
"CEACAM7"	"CEACAM7"	"epi"	NA	"ENSG00000280501"	"CEACAM7"	1087
"CEP170"	"CEP170"	"mes"	"mes"	"ENSG00000143702"	"CEP170"	9859
"CHN1"	"CHN1"	"mes"	"mes"	"ENSG00000128656"	"CHN1"	1123
"CHRDL1"	"CHRDL1"	"mes"	NA	"ENSG00000101938"	"CHRDL1"	91851
"CKMT1A"	"CKMT1A"	"epi"	"epi"	"ENSG00000223572"	"CKMT1A"	548596
"CLDN3"	"CLDN3"	"epi"	NA	"ENSG00000165215"	"CLDN3"	1365
"CLDN4"	"CLDN4"	"epi"	"epi"	"ENSG00000189143"	"CLDN4"	1364
"CLDN7"	"CLDN7"	"epi"	"epi"	"ENSG00000181885"	"CLDN7"	1366
"CLEC2B"	"CLEC2B"	"mes"	NA	"ENSG00000110852"	"CLEC2B"	9976
"CLIC4"	"CLIC4"	"mes"	NA	"ENSG00000169504"	"CLIC4"	25932
"CNKSR1"	"CNKSR1"	NA	"epi"	"ENSG00000142675"	"CNKSR1"	10256
"COL14A1"	"COL14A1"	"mes"	NA	"ENSG00000187955"	"COL14A1"	7373
"COL15A1"	"COL15A1"	"mes"	NA	"ENSG00000204291"	"COL15A1"	1306
"COL5A2"	"COL5A2"	"mes"	"mes"	"ENSG00000204262"	"COL5A2"	1290
"COL6A1"	"COL6A1"	"mes"	NA	"ENSG00000142156"	"COL6A1"	1291
"COL6A2"	"COL6A2"	"mes"	NA	"ENSG00000142173"	"COL6A2"	1292
"COLEC12"	"COLEC12"	"mes"	NA	"ENSG00000158270"	"COLEC12"	81035
"COMT"	"COMT"	NA	"epi"	"ENSG00000093010"	"COMT"	1312
"CORO2A"	"CORO2A"	"epi"	NA	"ENSG00000106789"	"CORO2A"	7464
"CRISPLD2"	"CRISPLD2"	"mes"	NA	"ENSG00000103196"	"CRISPLD2"	83716
"CRYAB"	"CRYAB"	"mes"	NA	"ENSG00000109846"	"CRYAB"	1410
"CSF2RB"	"CSF2RB"	"mes"	NA	"ENSG00000100368"	"CSF2RB"	1439
"CSRP2"	"CSRP2"	"mes"	NA	"ENSG00000175183"	"CSRP2"	1466
